Date,Period,Total Demand,TCQ,Net Demand
2024-02-17,5,5547.528,415.350537834662,5132.1774621653385
2024-02-17,6,5494.709000000001,415.350537834662,5079.358462165339
2024-02-17,7,5430.378,415.350537834662,5015.027462165338
2024-02-17,8,5391.312,415.350537834662,4975.961462165338
2024-02-17,9,5393.791,415.350537834662,4978.440462165338
2024-02-17,10,5442.395,415.350537834662,5027.044462165339
2024-02-17,11,5474.764999999999,415.350537834662,5059.414462165338
2024-02-17,12,5544.219,415.350537834662,5128.868462165338
2024-02-17,13,5640.945,415.350537834662,5225.594462165338
2024-02-17,14,5730.857999999999,415.350537834662,5315.5074621653375
2024-02-17,15,5825.942999999999,415.350537834662,5410.592462165338
2024-02-17,16,5954.107,415.350537834662,5538.756462165338
2024-02-17,17,6075.450999999999,415.350537834662,5660.100462165337
2024-02-17,18,6136.004,415.350537834662,5720.653462165338
2024-02-17,19,6186.204,415.350537834662,5770.853462165338
2024-02-17,20,6176.764999999999,415.350537834662,5761.414462165338
2024-02-17,21,6130.838,415.350537834662,5715.487462165338
2024-02-17,22,6099.502,415.350537834662,5684.151462165339
2024-02-17,23,6115.8009999999995,415.350537834662,5700.450462165338
2024-02-17,24,6047.778,415.350537834662,5632.4274621653385
2024-02-17,25,5998.973,415.350537834662,5583.622462165338
2024-02-17,26,6045.246,415.350537834662,5629.895462165338
2024-02-17,27,6137.514999999999,415.350537834662,5722.164462165338
2024-02-17,28,6156.296,415.350537834662,5740.9454621653385
2024-02-17,29,6169.6230000000005,415.350537834662,5754.272462165339
2024-02-17,30,6171.493,415.350537834662,5756.142462165339
2024-02-17,31,6170.447,415.350537834662,5755.096462165338
2024-02-17,32,6184.988,415.350537834662,5769.637462165339
2024-02-17,33,6109.565,415.350537834662,5694.214462165338
2024-02-17,34,6140.554999999999,415.350537834662,5725.204462165338
2024-02-17,35,6211.277,415.350537834662,5795.926462165338
2024-02-17,36,6296.354,415.350537834662,5881.0034621653385
2024-02-17,37,6362.222,415.350537834662,5946.871462165338
2024-02-17,38,6390.045,415.350537834662,5974.694462165338
2024-02-17,39,6445.007,415.350537834662,6029.656462165338
2024-02-17,40,6488.054,415.350537834662,6072.703462165338
2024-02-17,41,6509.759,415.350537834662,6094.408462165338
2024-02-17,42,6503.603,415.350537834662,6088.252462165338
2024-02-17,43,6469.701,415.350537834662,6054.350462165338
2024-02-17,44,6373.214,415.350537834662,5957.863462165338
2024-02-17,45,6260.284,415.350537834662,5844.933462165338
2024-02-17,46,6163.445000000001,415.350537834662,5748.094462165339
2024-02-17,47,6061.102,415.350537834662,5645.751462165338
2024-02-17,48,5952.019,415.350537834662,5536.6684621653385
2024-02-18,1,5831.695,415.350537834662,5416.344462165338
2024-02-18,2,5723.462,415.350537834662,5308.111462165339
2024-02-18,3,5638.1669999999995,415.350537834662,5222.816462165338
2024-02-18,4,5574.447,415.350537834662,5159.096462165338
2024-02-18,5,5514.295999999999,415.350537834662,5098.945462165338
2024-02-18,6,5457.927,415.350537834662,5042.576462165338
2024-02-18,7,5411.683,415.350537834662,4996.332462165338
2024-02-18,8,5382.432,415.350537834662,4967.081462165338
2024-02-18,9,5368.575000000001,415.350537834662,4953.224462165339
2024-02-18,10,5375.921,415.350537834662,4960.5704621653385
2024-02-18,11,5406.203,415.350537834662,4990.852462165339
2024-02-18,12,5473.694,415.350537834662,5058.343462165339
2024-02-18,13,5540.206,415.350537834662,5124.855462165338
2024-02-18,14,5597.111000000001,415.350537834662,5181.760462165339
2024-02-18,15,5648.141,415.350537834662,5232.790462165338
2024-02-18,16,5718.331999999999,415.350537834662,5302.981462165338
2024-02-18,17,5785.941000000001,415.350537834662,5370.590462165339
2024-02-18,18,5801.153,415.350537834662,5385.8024621653385
2024-02-18,19,5801.762,415.350537834662,5386.411462165338
2024-02-18,20,5811.246999999999,415.350537834662,5395.896462165338
2024-02-18,21,5838.926,415.350537834662,5423.575462165339
2024-02-18,22,5847.874,415.350537834662,5432.523462165338
2024-02-18,23,5793.858,415.350537834662,5378.507462165338
2024-02-18,24,5735.328,415.350537834662,5319.977462165339
2024-02-18,25,5708.170999999999,415.350537834662,5292.820462165338
2024-02-18,26,5668.211,415.350537834662,5252.8604621653385
2024-02-18,27,5671.161,415.350537834662,5255.810462165338
2024-02-18,28,5747.56,415.350537834662,5332.209462165339
2024-02-18,29,5829.159,415.350537834662,5413.808462165338
2024-02-18,30,5918.982,415.350537834662,5503.631462165338
2024-02-18,31,5954.9929999999995,415.350537834662,5539.642462165338
2024-02-18,32,6010.85,415.350537834662,5595.499462165339
2024-02-18,33,6123.732,415.350537834662,5708.381462165338
2024-02-18,34,6232.428,415.350537834662,5817.077462165338
2024-02-18,35,6314.905,415.350537834662,5899.554462165338
2024-02-18,36,6342.629999999999,415.350537834662,5927.2794621653375
2024-02-18,37,6428.404,415.350537834662,6013.053462165339
2024-02-18,38,6527.4439999999995,415.350537834662,6112.093462165338
2024-02-18,39,6594.619000000001,415.350537834662,6179.268462165339
2024-02-18,40,6619.5109999999995,415.350537834662,6204.160462165338
2024-02-18,41,6621.674,415.350537834662,6206.323462165338
2024-02-18,42,6640.851,415.350537834662,6225.500462165338
2024-02-18,43,6614.713,415.350537834662,6199.362462165338
2024-02-18,44,6507.504,415.350537834662,6092.153462165338
2024-02-18,45,6370.503,415.350537834662,5955.152462165338
2024-02-18,46,6242.348999999999,415.350537834662,5826.9984621653375
2024-02-18,47,6120.125,415.350537834662,5704.774462165338
2024-02-18,48,6003.840999999999,415.350537834662,5588.490462165338
2024-02-19,1,5892.243,355.818725701596,5536.424274298404
2024-02-19,2,5781.652,355.818725701596,5425.833274298404
2024-02-19,3,5682.445,355.818725701596,5326.626274298404
2024-02-19,4,5618.273,355.818725701596,5262.454274298404
2024-02-19,5,5560.173,355.818725701596,5204.354274298404
2024-02-19,6,5508.859,355.818725701596,5153.040274298404
2024-02-19,7,5482.943,355.818725701596,5127.124274298404
2024-02-19,8,5462.826,355.818725701596,5107.007274298404
2024-02-19,9,5457.241,355.818725701596,5101.422274298404
2024-02-19,10,5501.388000000001,355.818725701596,5145.569274298405
2024-02-19,11,5608.352,355.818725701596,5252.533274298404
2024-02-19,12,5793.639999999999,355.818725701596,5437.821274298403
2024-02-19,13,5988.946,355.818725701596,5633.127274298404
2024-02-19,14,6151.32,355.818725701596,5795.501274298404
2024-02-19,15,6345.664000000001,355.818725701596,5989.845274298405
2024-02-19,16,6551.67,355.818725701596,6195.851274298404
