"Date","Period","Total_Demand","TCQ","Net_Demand"
"2024-01-20",7,"5349.971","21306.5380959966","-15956.566904590349"
"2024-01-20",8,"5336.234","21306.5380959966","-15970.304209277849"
"2024-01-20",9,"5333.829","21306.5380959966","-15972.708994434099"
"2024-01-20",10,"5340.504","21306.5380959966","-15966.034189746599"
"2024-01-20",11,"5385.244","21306.5380959966","-15921.293955371599"
"2024-01-20",12,"5452.801","21306.5380959966","-15853.737314746599"
"2024-01-20",13,"5521.635","21306.5380959966","-15784.903330371599"
"2024-01-20",14,"5587.582","21306.5380959966","-15718.956064746599"
"2024-01-20",15,"5666.267","21306.5380959966","-15640.271006152849"
"2024-01-20",16,"5796.113","21306.5380959966","-15510.425303027849"
"2024-01-20",17,"5941.158","21306.5380959966","-15365.379892871599"
"2024-01-20",18,"6019.276","21306.5380959966","-15287.262217090349"
"2024-01-20",19,"6066.745","21306.5380959966","-15239.792978809099"
"2024-01-20",20,"6127.791","21306.5380959966","-15178.747080371599"
"2024-01-20",21,"6272.5557","21306.5380959966","-15033.982431934099"
"2024-01-20",22,"6293.9463","21306.5380959966","-15012.591806934099"
"2024-01-20",23,"6235.2637","21306.5380959966","-15071.274424121599"
"2024-01-20",24,"6178.9272","21306.5380959966","-15127.610849902849"
"2024-01-20",25,"6215.942","21306.5380959966","-15090.596201465349"
"2024-01-20",26,"6204.5107","21306.5380959966","-15102.027353809099"
"2024-01-20",27,"6187.897","21306.5380959966","-15118.641123340349"
"2024-01-20",28,"6241.203","21306.5380959966","-15065.334970996599"
"2024-01-20",29,"6253.821","21306.5380959966","-15052.717295215349"
"2024-01-20",30,"6254.9937","21306.5380959966","-15051.544443652849"
"2024-01-20",31,"6239.128","21306.5380959966","-15067.410166309099"
"2024-01-20",32,"6228.5527","21306.5380959966","-15077.985361621599"
"2024-01-20",33,"6198.5728","21306.5380959966","-15107.965342090349"
"2024-01-20",34,"6205.102","21306.5380959966","-15101.436045215349"
"2024-01-20",35,"6213.298","21306.5380959966","-15093.240244434099"
"2024-01-20",36,"6231.402","21306.5380959966","-15075.136240527849"
"2024-01-20",37,"6264.958","21306.5380959966","-15041.580088184099"
"2024-01-20",38,"6321.293","21306.5380959966","-14985.245127246599"
"2024-01-20",39,"6356.2607","21306.5380959966","-14950.277353809099"
"2024-01-20",40,"6363.519","21306.5380959966","-14943.019053027849"
"2024-01-20",41,"6353.586","21306.5380959966","-14952.952158496599"
"2024-01-20",42,"6335.1797","21306.5380959966","-14971.358408496599"
"2024-01-20",43,"6290.959","21306.5380959966","-15015.579111621599"
"2024-01-20",44,"6179.267","21306.5380959966","-15127.271006152849"
"2024-01-20",45,"6057.392","21306.5380959966","-15249.146006152849"
"2024-01-20",46,"5944.116","21306.5380959966","-15362.421885059099"
"2024-01-20",47,"5832.192","21306.5380959966","-15474.346201465349"
"2024-01-20",48,"5677.131","21306.5380959966","-15629.407236621599"
"2024-01-21",1,"5530.052","21306.5380959966","-15776.486338184099"
"2024-01-21",2,"5438.779","21306.5380959966","-15867.759287402849"
"2024-01-21",3,"5398.66","21306.5380959966","-15907.877939746599"
"2024-01-21",4,"5318.498","21306.5380959966","-15988.040049121599"
"2024-01-21",5,"5229.546","21306.5380959966","-16076.992197559099"
"2024-01-21",6,"5157.277","21306.5380959966","-16149.261240527849"
"2024-01-21",7,"5118.861","21306.5380959966","-16187.677256152849"
"2024-01-21",8,"5112.6567","21306.5380959966","-16193.881357715349"
"2024-01-21",9,"5104.6377","21306.5380959966","-16201.900400684099"
"2024-01-21",10,"5120.6997","21306.5380959966","-16185.838388965349"
"2024-01-21",11,"5164.54","21306.5380959966","-16141.998056934099"
"2024-01-21",12,"5235.566","21306.5380959966","-16070.972178027849"
"2024-01-21",13,"5309.094","21306.5380959966","-15997.443857715349"
"2024-01-21",14,"5368.181","21306.5380959966","-15938.356943652849"
"2024-01-21",15,"5423.1787","21306.5380959966","-15883.359385059099"
"2024-01-21",16,"5511.131","21306.5380959966","-15795.407236621599"
"2024-01-21",17,"5603.161","21306.5380959966","-15703.376963184099"
"2024-01-21",18,"5664.8633","21306.5380959966","-15641.674814746599"
"2024-01-21",19,"5706.3154","21306.5380959966","-15600.222666309099"
"2024-01-21",20,"5722.542","21306.5380959966","-15583.996103809099"
"2024-01-21",21,"5730.7207","21306.5380959966","-15575.817392871599"
"2024-01-21",22,"5703.8667","21306.5380959966","-15602.671396777849"
"2024-01-21",23,"5650.926","21306.5380959966","-15655.612314746599"
"2024-01-21",24,"5580.219","21306.5380959966","-15726.318857715349"
"2024-01-21",25,"5565.214","21306.5380959966","-15741.324228809099"
"2024-01-21",26,"5613.89","21306.5380959966","-15692.647959277849"
"2024-01-21",27,"5687.433","21306.5380959966","-15619.104990527849"
"2024-01-21",28,"5703.555","21306.5380959966","-15602.982920215349"
"2024-01-21",29,"5699.547","21306.5380959966","-15606.991220996599"
"2024-01-21",30,"5700.4844","21306.5380959966","-15606.053720996599"
"2024-01-21",31,"5718.814","21306.5380959966","-15587.724131152849"
"2024-01-21",32,"5730.4062","21306.5380959966","-15576.131845996599"
"2024-01-21",33,"5805.626","21306.5380959966","-15500.912119434099"
"2024-01-21",34,"5904.611","21306.5380959966","-15401.927256152849"
"2024-01-21",35,"5975.602","21306.5380959966","-15330.936045215349"
"2024-01-21",36,"6080.676","21306.5380959966","-15225.862314746599"
"2024-01-21",37,"6193.915","21306.5380959966","-15112.623056934099"
"2024-01-21",38,"6332.161","21306.5380959966","-14974.376963184099"
"2024-01-21",39,"6386.088","21306.5380959966","-14920.450205371599"
"2024-01-21",40,"6407.569","21306.5380959966","-14898.969248340349"
"2024-01-21",41,"6429.008","21306.5380959966","-14877.530283496599"
"2024-01-21",42,"6432.016","21306.5380959966","-14874.521982715349"
"2024-01-21",43,"6363.5356","21306.5380959966","-14943.002451465349"
"2024-01-21",44,"6229.12","21306.5380959966","-15077.417978809099"
"2024-01-21",45,"6098.3633","21306.5380959966","-15208.174814746599"
"2024-01-21",46,"6013.2236","21306.5380959966","-15293.314463184099"
"2024-01-21",47,"5889.936","21306.5380959966","-15416.602060840349"
"2024-01-21",48,"5819.791","21306.5380959966","-15486.747080371599"
"2024-01-22",1,"5769.11","415.350537834662","5353.759325446588"
"2024-01-22",2,"5669.4487","397.13677366202","5272.31195680673"
"2024-01-22",3,"5543.065","383.04170247851","5160.02323892774"
"2024-01-22",4,"5422.971","370.628854616902","5052.342336789348"
"2024-01-22",5,"5368.478","360.553706585054","5007.924320758696"
"2024-01-22",6,"5320.5938","352.39848342446","4968.19526657554"
"2024-01-22",7,"5292.4067","345.086066518676","4947.320671762574"
"2024-01-22",8,"5285.805","340.95819339320695","4944.846982388043"
"2024-01-22",9,"5279.869","339.086970714893","4940.782169910107"
"2024-01-22",10,"5298.0947","338.984652006826","4959.110074555674"
"2024-01-22",11,"5400.1553","343.948495438935","5056.206777998565"
"2024-01-22",12,"5574.998","348.271397850624","5226.7266490243765"
"2024-01-22",13,"5775.296","356.758274754606","5418.537623682894"
"2024-01-22",14,"5981.7056","359.126852039741","5622.578714366509"
"2024-01-22",15,"6215.1353","374.88405909027995","5840.25119481597"
"2024-01-22",16,"6452.4526","392.734546877371","6059.718089841379"
"2024-01-22",17,"6660.563","417.28631150359297","6243.2766767776575"
"2024-01-22",18,"6776.954","437.327106388335","6339.626995174165"
"2024-01-22",19,"6818.8306","456.201663313922","6362.628903092328"
"2024-01-22",20,"6824.841","470.689211124953","6354.151609187547"
"2024-01-22",21,"6812.268","485.371126678831","6326.896939727419"
"2024-01-22",22,"6768.291","489.648162083455","6278.642853541545"
"2024-01-22",23,"6724.889","493.96485858828095","6230.924301567969"
"2024-01-22",24,"6669.11","493.609263275271","6175.500600005979"
"2024-01-22",25,"6630.027","488.69654769513","6141.33030777362"
"2024-01-22",26,"6641.0947","483.05068454945905","6158.044042013041"
"2024-01-22",27,"6721.338","482.3044951289","6239.0333954961"
"2024-01-22",28,"6807.132","484.75094551943704","6322.380890418063"
"2024-01-22",29,"6828.876","484.309570082638","6344.566406479862"
"2024-01-22",30,"6802.679","482.29139026974","6320.38780894901"
"2024-01-22",31,"6848.8096","483.168722788107","6365.640847524393"
"2024-01-22",32,"6837.697","483.78940798054504","6353.907369363205"
"2024-01-22",33,"6846.002","487.452027103724","6358.549926021276"
"2024-01-22",34,"6906.4155","488.782768847833","6417.632758495917"
"2024-01-22",35,"6912.3423","492.90093933719197","6419.441345819058"
"2024-01-22",36,"6838.745","493.19910638517604","6345.5460108023235"
"2024-01-22",37,"6791.7266","494.397507952995","6297.329054547005"
"2024-01-22",38,"6862.643","501.872727532206","6360.770338874044"
"2024-01-22",39,"6919.465","513.5954335787981","6405.869410171202"
"2024-01-22",40,"6896.943","521.702647591887","6375.2402235018635"
"2024-01-22",41,"6885.697","523.105970094427","6362.590807249323"
"2024-01-22",42,"6837.522","520.200345600202","6317.321627056048"
"2024-01-22",43,"6779.94","518.001028911877","6261.938912494373"
"2024-01-22",44,"6664.3486","506.982047501831","6157.366585310669"
"2024-01-22",45,"6491.0977","488.53733625714597","6002.560319992854"
"2024-01-22",46,"6302.813","467.270071464411","5835.542916816839"
"2024-01-22",47,"6166.749","443.898437208139","5722.850586229361"
"2024-01-22",48,"6021.917","409.230666371385","5612.686325816115"
"2024-01-23",1,"5869.257","415.350537834662","5453.906298102838"
"2024-01-23",2,"5750.662","397.13677366202","5353.52533571298"
"2024-01-23",3,"5668.713","383.04170247851","5285.67118814649"
"2024-01-23",4,"5601.984","370.628854616902","5231.355032101848"
"2024-01-23",5,"5547.286","360.553706585054","5186.732426227446"
"2024-01-23",6,"5493.463","352.39848342446","5141.06440720054"
"2024-01-23",7,"5449.1777","345.086066518676","5104.091667856324"
