Date,Period,Total Demand,TCQ,Net Demand,Type_Of_Day
2024-02-03,34,6343.643,415.350537834662,5928.292462165338,1
2024-02-03,35,6385.686,415.350537834662,5970.335462165338,1
2024-02-03,36,6476.806,415.350537834662,6061.455462165338,1
2024-02-03,37,6519.032999999999,415.350537834662,6103.682462165338,1
2024-02-03,38,6564.228,415.350537834662,6148.877462165338,1
2024-02-03,39,6585.7699999999995,415.350537834662,6170.419462165338,1
2024-02-03,40,6541.907,415.350537834662,6126.556462165338,1
2024-02-03,41,6521.822999999999,415.350537834662,6106.472462165338,1
2024-02-03,42,6514.1849999999995,415.350537834662,6098.834462165338,1
2024-02-03,43,6461.499,415.350537834662,6046.148462165338,1
2024-02-03,44,6359.0419999999995,415.350537834662,5943.691462165338,1
2024-02-03,45,6259.915,415.350537834662,5844.564462165338,1
2024-02-03,46,6189.54,415.350537834662,5774.189462165338,1
2024-02-03,47,6093.282,415.350537834662,5677.931462165338,1
2024-02-03,48,5984.8,415.350537834662,5569.449462165338,1
2024-02-04,1,5864.912,415.350537834662,5449.5614621653385,1
2024-02-04,2,5763.756,415.350537834662,5348.405462165339,1
2024-02-04,3,5685.49,415.350537834662,5270.139462165338,1
2024-02-04,4,5607.58,415.350537834662,5192.229462165338,1
2024-02-04,5,5521.981,415.350537834662,5106.630462165338,1
2024-02-04,6,5452.977,415.350537834662,5037.626462165338,1
2024-02-04,7,5395.426,415.350537834662,4980.075462165339,1
2024-02-04,8,5372.174,415.350537834662,4956.823462165338,1
2024-02-04,9,5367.166,415.350537834662,4951.815462165338,1
2024-02-04,10,5374.567,415.350537834662,4959.216462165338,1
2024-02-04,11,5408.852,415.350537834662,4993.501462165338,1
2024-02-04,12,5466.1630000000005,415.350537834662,5050.812462165339,1
2024-02-04,13,5528.294000000001,415.350537834662,5112.943462165339,1
2024-02-04,14,5579.305,415.350537834662,5163.954462165339,1
2024-02-04,15,5621.911,415.350537834662,5206.560462165338,1
2024-02-04,16,5680.134,415.350537834662,5264.783462165338,1
2024-02-04,17,5752.492,415.350537834662,5337.141462165338,1
2024-02-04,18,5805.311000000001,415.350537834662,5389.960462165339,1
2024-02-04,19,5828.059,415.350537834662,5412.7084621653385,1
2024-02-04,20,5810.324,415.350537834662,5394.973462165338,1
2024-02-04,21,5800.884,415.350537834662,5385.533462165338,1
2024-02-04,22,5783.608,415.350537834662,5368.257462165338,1
2024-02-04,23,5753.165,415.350537834662,5337.814462165338,1
2024-02-04,24,5707.293000000001,415.350537834662,5291.942462165339,1
2024-02-04,25,5623.757,415.350537834662,5208.406462165338,1
2024-02-04,26,5588.211,415.350537834662,5172.8604621653385,1
2024-02-04,27,5622.53,415.350537834662,5207.179462165338,1
2024-02-04,28,5705.02,415.350537834662,5289.669462165339,1
2024-02-04,29,5712.65,415.350537834662,5297.299462165338,1
2024-02-04,30,5748.7609999999995,415.350537834662,5333.410462165338,1
2024-02-04,31,5801.278,415.350537834662,5385.9274621653385,1
2024-02-04,32,5895.998,415.350537834662,5480.647462165338,1
2024-02-04,33,6013.1939999999995,415.350537834662,5597.843462165338,1
2024-02-04,34,6090.274,415.350537834662,5674.923462165339,1
2024-02-04,35,6220.005,415.350537834662,5804.654462165338,1
2024-02-04,36,6392.188,415.350537834662,5976.837462165338,1
2024-02-04,37,6446.914,415.350537834662,6031.563462165338,1
2024-02-04,38,6503.767000000001,415.350537834662,6088.416462165339,1
2024-02-04,39,6567.028,415.350537834662,6151.6774621653385,1
2024-02-04,40,6604.3099999999995,415.350537834662,6188.959462165338,1
2024-02-04,41,6628.6089999999995,415.350537834662,6213.258462165338,1
2024-02-04,42,6626.881,415.350537834662,6211.530462165339,1
2024-02-04,43,6580.383000000001,415.350537834662,6165.032462165339,1
2024-02-04,44,6469.387,415.350537834662,6054.036462165338,1
2024-02-04,45,6347.381,415.350537834662,5932.030462165339,1
2024-02-04,46,6225.067,415.350537834662,5809.716462165338,1
2024-02-04,47,6129.5289999999995,415.350537834662,5714.178462165338,1
2024-02-04,48,6082.809,415.350537834662,5667.4584621653385,1
2024-02-10,1,5780.292,415.350537834662,5364.941462165339,1
2024-02-10,2,5681.098999999999,415.350537834662,5265.7484621653375,1
2024-02-10,3,5579.918000000001,415.350537834662,5164.567462165339,1
2024-02-10,4,5476.7339999999995,415.350537834662,5061.383462165338,1
2024-02-10,5,5338.042,415.350537834662,4922.691462165339,1
2024-02-10,6,5210.374000000001,415.350537834662,4795.023462165339,1
2024-02-10,7,5151.714,415.350537834662,4736.363462165338,1
2024-02-10,8,5184.07,415.350537834662,4768.719462165338,1
2024-02-10,9,5162.982,415.350537834662,4747.631462165338,1
2024-02-10,10,5162.111000000001,415.350537834662,4746.760462165339,1
2024-02-10,11,5171.012,415.350537834662,4755.661462165338,1
2024-02-10,12,5232.498,415.350537834662,4817.147462165338,1
2024-02-10,13,5285.838000000001,415.350537834662,4870.487462165339,1
2024-02-10,14,5315.143,415.350537834662,4899.792462165338,1
2024-02-10,15,5333.518,415.350537834662,4918.167462165338,1
2024-02-10,16,5393.077,415.350537834662,4977.7264621653385,1
2024-02-10,17,5458.577,415.350537834662,5043.2264621653385,1
2024-02-10,18,5489.874,415.350537834662,5074.523462165338,1
2024-02-10,19,5510.1179999999995,415.350537834662,5094.767462165338,1
2024-02-10,20,5509.618,415.350537834662,5094.267462165339,1
2024-02-10,21,5484.244000000001,415.350537834662,5068.893462165339,1
2024-02-10,22,5433.3060000000005,415.350537834662,5017.955462165339,1
2024-02-10,23,5399.677,415.350537834662,4984.326462165338,1
2024-02-10,24,5368.383,415.350537834662,4953.032462165338,1
2024-02-10,25,5356.456,415.350537834662,4941.105462165338,1
2024-02-10,26,5314.125,415.350537834662,4898.774462165338,1
2024-02-10,27,5296.857,415.350537834662,4881.506462165338,1
2024-02-10,28,5286.853,415.350537834662,4871.502462165338,1
2024-02-10,29,5298.832,415.350537834662,4883.481462165339,1
2024-02-10,30,5348.0599999999995,415.350537834662,4932.709462165338,1
2024-02-10,31,5379.365,415.350537834662,4964.014462165338,1
2024-02-10,32,5390.752,415.350537834662,4975.401462165339,1
2024-02-10,33,5373.06,415.350537834662,4957.709462165339,1
2024-02-10,34,5408.105,415.350537834662,4992.754462165338,1
2024-02-10,35,5446.166,415.350537834662,5030.815462165338,1
2024-02-10,36,5537.103,415.350537834662,5121.752462165338,1
2024-02-10,37,5639.856,415.350537834662,5224.505462165338,1
2024-02-10,38,5786.353,415.350537834662,5371.002462165338,1
2024-02-10,39,5910.302,415.350537834662,5494.951462165338,1
2024-02-10,40,5959.409,415.350537834662,5544.058462165338,1
2024-02-10,41,5991.245,415.350537834662,5575.894462165338,1
2024-02-10,42,6001.315,415.350537834662,5585.964462165338,1
2024-02-10,43,5980.857999999999,415.350537834662,5565.5074621653375,1
2024-02-10,44,5923.232,415.350537834662,5507.881462165338,1
2024-02-10,45,5881.716,415.350537834662,5466.365462165339,1
2024-02-10,46,5853.2570000000005,415.350537834662,5437.906462165339,1
2024-02-10,47,5767.400000000001,415.350537834662,5352.049462165339,1
2024-02-10,48,5647.900000000001,415.350537834662,5232.549462165339,1
2024-02-11,1,5526.8330000000005,415.350537834662,5111.482462165339,1
2024-02-11,2,5441.594,415.350537834662,5026.243462165338,1
2024-02-11,3,5373.914,415.350537834662,4958.563462165338,1
2024-02-11,4,5305.637000000001,415.350537834662,4890.286462165339,1
2024-02-11,5,5242.245,415.350537834662,4826.894462165338,1
2024-02-11,6,5200.659,415.350537834662,4785.308462165338,1
2024-02-11,7,5166.288,415.350537834662,4750.937462165338,1
2024-02-11,8,5137.768,415.350537834662,4722.417462165338,1
2024-02-11,9,5131.49,415.350537834662,4716.139462165338,1
2024-02-11,10,5147.027,415.350537834662,4731.676462165338,1
2024-02-11,11,5175.416,415.350537834662,4760.065462165338,1
2024-02-11,12,5207.498,415.350537834662,4792.147462165338,1
2024-02-11,13,5253.511,415.350537834662,4838.160462165339,1
2024-02-11,14,5294.903,415.350537834662,4879.5524621653385,1
2024-02-11,15,5348.398,415.350537834662,4933.047462165338,1
2024-02-11,16,5440.628,415.350537834662,5025.277462165338,1
2024-02-11,17,5528.198,415.350537834662,5112.847462165339,1
2024-02-11,18,5555.956,415.350537834662,5140.605462165338,1
2024-02-11,19,5559.326,415.350537834662,5143.975462165338,1
2024-02-11,20,5582.0019999999995,415.350537834662,5166.651462165338,1
2024-02-11,21,5603.178999999999,415.350537834662,5187.828462165337,1
2024-02-11,22,5593.155,415.350537834662,5177.804462165338,1
2024-02-11,23,5591.362,415.350537834662,5176.011462165338,1
2024-02-11,24,5530.672,415.350537834662,5115.321462165338,1
2024-02-11,25,5477.389999999999,415.350537834662,5062.039462165338,1
2024-02-11,26,5408.755,415.350537834662,4993.404462165338,1
2024-02-11,27,5384.008,415.350537834662,4968.657462165338,1
2024-02-11,28,5410.012000000001,415.350537834662,4994.661462165339,1
2024-02-11,29,5414.718000000001,415.350537834662,4999.367462165339,1
2024-02-11,30,5390.664000000001,415.350537834662,4975.313462165339,1
2024-02-11,31,5349.103,415.350537834662,4933.752462165338,1
2024-02-11,32,5351.201,415.350537834662,4935.850462165338,1
2024-02-11,33,5414.601,415.350537834662,4999.250462165338,1
2024-02-11,34,5489.787,415.350537834662,5074.4364621653385,1
2024-02-11,35,5568.4619999999995,415.350537834662,5153.111462165338,1
2024-02-11,36,5639.778,415.350537834662,5224.4274621653385,1
2024-02-11,37,5737.509,415.350537834662,5322.158462165338,1
2024-02-11,38,5864.018,415.350537834662,5448.667462165338,1
2024-02-11,39,5924.362,415.350537834662,5509.011462165338,1
2024-02-11,40,5985.155,415.350537834662,5569.804462165338,1
2024-02-11,41,6017.572,415.350537834662,5602.221462165338,1
2024-02-11,42,6033.482999999999,415.350537834662,5618.1324621653375,1
2024-02-11,43,6031.859,415.350537834662,5616.508462165339,1
2024-02-11,44,5965.4310000000005,415.350537834662,5550.080462165339,1
2024-02-11,45,5874.749,415.350537834662,5459.398462165338,1
2024-02-11,46,5807.9529999999995,415.350537834662,5392.602462165338,1
2024-02-11,47,5731.798,415.350537834662,5316.447462165338,1
2024-02-11,48,5649.650000000001,415.350537834662,5234.299462165339,1
2024-02-12,1,5615.5599999999995,415.350537834662,5200.209462165338,1
2024-02-12,2,5596.588000000001,415.350537834662,5181.237462165339,1
2024-02-12,3,5514.987,415.350537834662,5099.636462165338,1
2024-02-12,4,5403.771000000001,415.350537834662,4988.420462165339,1
2024-02-12,5,5314.527999999999,415.350537834662,4899.177462165338,1
2024-02-12,6,5269.357999999999,415.350537834662,4854.0074621653375,1
2024-02-12,7,5227.8550000000005,415.350537834662,4812.504462165339,1
2024-02-12,8,5192.0289999999995,415.350537834662,4776.678462165338,1
2024-02-12,9,5179.504,415.350537834662,4764.153462165338,1
2024-02-12,10,5188.341,415.350537834662,4772.990462165339,1
2024-02-12,11,5224.628,415.350537834662,4809.277462165338,1
2024-02-12,12,5286.808999999999,415.350537834662,4871.458462165338,1
2024-02-12,13,5358.341,415.350537834662,4942.990462165339,1
2024-02-12,14,5404.102,415.350537834662,4988.751462165338,1
2024-02-12,15,5454.534,415.350537834662,5039.183462165338,1
2024-02-12,16,5558.134999999999,415.350537834662,5142.784462165338,1
2024-02-12,17,5675.803,415.350537834662,5260.452462165338,1
2024-02-12,18,5759.618,415.350537834662,5344.267462165339,1
2024-02-12,19,5830.683,415.350537834662,5415.332462165338,1
2024-02-12,20,5895.332,415.350537834662,5479.981462165339,1
2024-02-12,21,5949.2029999999995,415.350537834662,5533.852462165338,1
2024-02-12,22,5956.588,415.350537834662,5541.237462165338,1
2024-02-12,23,5962.469,415.350537834662,5547.118462165338,1
2024-02-12,24,5826.764,415.350537834662,5411.413462165338,1
2024-02-12,25,5760.152999999999,415.350537834662,5344.802462165338,1
2024-02-12,26,5836.789000000001,415.350537834662,5421.438462165339,1
2024-02-12,27,5821.693,415.350537834662,5406.3424621653385,1
2024-02-12,28,5732.308,415.350537834662,5316.957462165338,1
2024-02-12,29,5784.628000000001,415.350537834662,5369.277462165339,1
2024-02-12,30,5770.4800000000005,415.350537834662,5355.129462165339,1
2024-02-12,31,5796.929,415.350537834662,5381.578462165338,1
2024-02-12,32,5823.821,415.350537834662,5408.470462165338,1
2024-02-12,33,5737.8240000000005,415.350537834662,5322.473462165339,1
2024-02-12,34,5808.963,415.350537834662,5393.612462165338,1
2024-02-12,35,5827.605,415.350537834662,5412.254462165338,1
2024-02-12,36,5836.171,415.350537834662,5420.8204621653385,1
2024-02-12,37,5884.875,415.350537834662,5469.524462165338,1
2024-02-12,38,6005.148999999999,415.350537834662,5589.798462165338,1
2024-02-12,39,6075.603,415.350537834662,5660.252462165338,1
2024-02-12,40,6144.384,415.350537834662,5729.033462165338,1
2024-02-12,41,6173.773,415.350537834662,5758.422462165338,1
2024-02-12,42,6173.735,415.350537834662,5758.384462165338,1
2024-02-12,43,6124.989,415.350537834662,5709.638462165338,1
2024-02-12,44,6082.174,415.350537834662,5666.823462165338,1
2024-02-12,45,6057.505,415.350537834662,5642.154462165338,1
2024-02-12,46,6026.063,415.350537834662,5610.712462165338,1
2024-02-12,47,5945.038,415.350537834662,5529.687462165338,1
2024-02-12,48,5884.0470000000005,415.350537834662,5468.696462165339,1
2024-02-17,1,5876.363,415.350537834662,5461.012462165339,1
2024-02-17,2,5765.566,415.350537834662,5350.215462165338,1
2024-02-17,3,5696.976,415.350537834662,5281.625462165338,1
2024-02-17,4,5619.402999999999,415.350537834662,5204.052462165338,1
2024-02-17,5,5547.528,415.350537834662,5132.1774621653385,1
2024-02-17,6,5494.709000000001,415.350537834662,5079.358462165339,1
2024-02-17,7,5430.378,415.350537834662,5015.027462165338,1
2024-02-17,8,5391.312,415.350537834662,4975.961462165338,1
2024-02-17,9,5393.791,415.350537834662,4978.440462165338,1
2024-02-17,10,5442.395,415.350537834662,5027.044462165339,1
2024-02-17,11,5474.764999999999,415.350537834662,5059.414462165338,1
2024-02-17,12,5544.219,415.350537834662,5128.868462165338,1
2024-02-17,13,5640.945,415.350537834662,5225.594462165338,1
2024-02-17,14,5730.857999999999,415.350537834662,5315.5074621653375,1
2024-02-17,15,5825.942999999999,415.350537834662,5410.592462165338,1
2024-02-17,16,5954.107,415.350537834662,5538.756462165338,1
2024-02-17,17,6075.450999999999,415.350537834662,5660.100462165337,1
2024-02-17,18,6136.004,415.350537834662,5720.653462165338,1
