Year,Month,Day,Period,Sum of Demand_Sum,Sum of DST,Sum of TCQ
2024,January,5,8,5215,4857.735749646722,357.264250353278
2024,January,5,9,5226,4875.285175737618,350.714824262382
2024,January,5,10,5274,4948.145634375484,325.854365624516
2024,January,5,11,5380,5037.026885646838,342.97311435316203
2024,January,5,12,5554,5219.276149032494,334.723850967506
2024,January,5,13,5736,5325.853796042121,410.146203957879
2024,January,5,14,5910,5525.673907343926,384.32609265607397
2024,January,5,15,6122,5705.645146896704,416.354853103296
2024,January,5,16,6349,5927.168299827876,421.83170017212404
2024,January,5,17,6524,6092.509508557834,431.490491442166
2024,January,5,18,6593,6151.935108097545,441.06489190245503
2024,January,5,19,6619,6165.286287375763,453.713712624237
2024,January,5,20,6636,6174.414364055613,461.585635944387
2024,January,5,21,6670,6197.82211911677,472.17788088323
2024,January,5,22,6718,6241.184266385818,476.81573361418197
2024,January,5,23,6750,6269.950289519558,480.049710480442
2024,January,5,24,6629,6148.8069335938035,480.193066406197
2024,January,5,25,6436,5959.930890075352,476.069109924648
2024,January,5,26,6478,6004.812254476804,473.187745523196
2024,January,5,27,6588,6112.366286671005,475.633713328995
2024,January,5,28,6678,6199.671886138728,478.328113861272
2024,January,5,29,6747,6261.8433802697855,485.15661973021497
2024,January,5,30,6790,6305.376221941337,484.623778058663
2024,January,5,31,6779,6293.408184508997,485.591815491003
2024,January,5,32,6800,6311.689215178386,488.310784821614
2024,January,5,33,6828,6333.115702641472,494.884297358528
2024,January,5,34,6860,6360.203094427896,499.796905572104
2024,January,5,35,6827,6321.444087764469,505.555912235531
2024,January,5,36,6812,6303.096277697427,508.903722302573
2024,January,5,37,6824,6297.885763387839,526.114236612161
2024,January,5,38,6797,6279.287914963504,517.712085036496
2024,January,5,39,6820,6287.323829765261,532.676170234739
2024,January,5,40,6816,6292.149341233744,523.8506587662561
2024,January,5,41,6793,6278.219562940588,514.7804370594121
2024,January,5,42,6726,6186.224049551335,539.775950448665
2024,January,5,43,6635,6102.019149887938,532.980850112062
2024,January,5,44,6471,5948.329111122534,522.6708888774659
2024,January,5,45,6316,5823.891026234855,492.108973765145
2024,January,5,46,6172,5683.349746396651,488.650253603349
2024,January,5,47,6049,5613.694101371981,435.30589862801895
2024,January,5,48,5933,5538.727448949366,394.272551050634
2024,January,6,1,5799,5383.649462165338,415.350537834662
2024,January,6,2,5700,5302.86322633798,397.13677366202
2024,January,6,3,5591,5207.95829752149,383.04170247851
2024,January,6,4,5529,5158.371145383098,370.628854616902
2024,January,6,5,5478,5117.446293414946,360.553706585054
2024,January,6,6,5423,5070.60151657554,352.39848342446
2024,January,6,7,5400,5054.913933481324,345.086066518676
2024,January,6,8,5389,5048.041806606793,340.95819339320695
2024,January,6,9,5376,5036.913029285107,339.086970714893
2024,January,6,10,5387,5048.015347993174,338.984652006826
2024,January,6,11,5417,5073.051504561065,343.948495438935
2024,January,6,12,5501,5152.7286021493765,348.271397850624
2024,January,6,13,5580,5223.241725245394,356.758274754606
2024,January,6,14,5642,5282.873147960259,359.126852039741
2024,January,6,15,5703,5328.11594090972,374.88405909027995
2024,January,6,16,5836,5443.265453122629,392.734546877371
2024,January,6,17,5984,5566.7136884964075,417.28631150359297
2024,January,6,18,6057,5619.672893611665,437.327106388335
2024,January,6,19,6088,5631.798336686078,456.201663313922
2024,January,6,20,6121,5650.310788875047,470.689211124953
2024,January,6,21,6218,5732.628873321169,485.371126678831
2024,January,6,22,6296,5806.351837916545,489.648162083455
2024,January,6,23,6276,5782.035141411719,493.96485858828095
2024,January,6,24,6246,5752.390736724729,493.609263275271
2024,January,6,25,6245,5756.30345230487,488.69654769513
2024,January,6,26,6236,5752.949315450541,483.05068454945905
2024,January,6,27,6185,5702.6955048711,482.3044951289
2024,January,6,28,6137,5652.249054480563,484.75094551943704
2024,January,6,29,6123,5638.690429917362,484.309570082638
2024,January,6,30,6143,5660.70860973026,482.29139026974
2024,January,6,31,6247,5763.831277211893,483.168722788107
2024,January,6,32,6285,5801.210592019455,483.78940798054504
2024,January,6,33,6253,5765.547972896276,487.452027103724
2024,January,6,34,6227,5738.217231152167,488.782768847833
2024,January,6,35,6266,5773.099060662808,492.90093933719197
2024,January,6,36,6255,5761.8008936148235,493.19910638517604
2024,January,6,37,6323,5828.602492047005,494.397507952995
2024,January,6,38,6387,5885.127272467794,501.872727532206
2024,January,6,39,6458,5944.404566421202,513.5954335787981
2024,January,6,40,6471,5949.2973524081135,521.702647591887
2024,January,6,41,6473,5949.894029905573,523.105970094427
2024,January,6,42,6468,5947.799654399798,520.200345600202
2024,January,6,43,6427,5908.998971088123,518.001028911877
2024,January,6,44,6325,5818.017952498169,506.982047501831
2024,January,6,45,6226,5737.462663742854,488.53733625714597
2024,January,6,46,6127,5659.729928535589,467.270071464411
2024,January,6,47,6037,5593.101562791861,443.898437208139
2024,January,6,48,5898,5488.769333628615,409.230666371385
2024,January,7,1,5753,5337.649462165338,415.350537834662
2024,January,7,2,5690,5292.86322633798,397.13677366202
2024,January,7,3,5657,5273.95829752149,383.04170247851
2024,January,7,4,5547,5176.371145383098,370.628854616902
2024,January,7,5,5444,5083.446293414946,360.553706585054
2024,January,7,6,5370,5017.60151657554,352.39848342446
2024,January,7,7,5327,4981.913933481324,345.086066518676
2024,January,7,8,5299,4958.041806606793,340.95819339320695
2024,January,7,9,5293,4953.913029285107,339.086970714893
2024,January,7,10,5311,4972.015347993174,338.984652006826
2024,January,7,11,5336,4992.051504561065,343.948495438935
2024,January,7,12,5400,5051.7286021493765,348.271397850624
2024,January,7,13,5460,5103.241725245394,356.758274754606
2024,January,7,14,5525,5165.873147960259,359.126852039741
2024,January,7,15,5562,5187.11594090972,374.88405909027995
2024,January,7,16,5625,5232.265453122629,392.734546877371
2024,January,7,17,5694,5276.7136884964075,417.28631150359297
2024,January,7,18,5795,5357.672893611665,437.327106388335
